"","daily_eng_use","eng_proficiency","L2_aoo","teaching","accentedness","comprehensibility","id","trash","participant","age","Country.of.Birth","Current.Country.of.Residence","First.Language","Nationality","Sex"
"22",NA,NA,"10","No",7.010416667,8.78125,"472263","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"23",NA,NA,"10","No",3.09375,3.916666667,"469581","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"24",NA,NA,"10","No",8.958333333,8.958333333,"469440","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"25",NA,NA,"10","No",1.989583333,2.989583333,"484549","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"26",NA,NA,"10","No",3.895833333,7.916666667,"479904","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"27",NA,NA,"10","No",1.083333333,4.114583333,"479845","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"28",NA,NA,"10","No",2.9375,6.875,"469737","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"29",NA,NA,"10","No",8.947916667,8.947916667,"469440","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"30",NA,NA,"10","No",1.09375,1.09375,"471720","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"31",NA,NA,"10","No",3.083333333,2.15625,"469635","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"32",NA,NA,"10","No",2.15625,5.895833333,"469639","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"33",NA,NA,"10","No",1.958333333,7.072916667,"472268","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"34",NA,NA,"10","No",1.197916667,7.916666667,"477072","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"35",NA,NA,"10","No",1.125,5.822916667,"481532","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"36",NA,NA,"10","No",8.010416667,8.010416667,"469614","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"37",NA,NA,"10","No",8.010416667,4.03125,"470408","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"38",NA,NA,"10","No",5.03125,6.114583333,"484860","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"39",NA,NA,"10","No",2.041666667,3.208333333,"484573","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"40",NA,NA,"10","No",2.020833333,4.96875,"485567","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"41",NA,NA,"10","No",3.927083333,1.46875,"469635","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"42",NA,NA,"10","No",2.34375,7.895833333,"469865","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"43",NA,NA,"10","No",1.260416667,1.260416667,"477072","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"44",NA,NA,"10","No",1.989583333,1.21875,"485567","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"45",NA,NA,"10","No",1.270833333,1.114583333,"484860","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"46",NA,NA,"10","No",7.010416667,7.875,"469883","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"47",NA,NA,"10","No",6,7.802083333,"481962","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"48",NA,NA,"10","No",2.072916667,7.927083333,"487696","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"49",NA,NA,"10","No",2.125,7.25,"469553","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"50",NA,NA,"10","No",2.052083333,6.739583333,"469805","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"51",NA,NA,"10","No",5.052083333,5.958333333,"480419","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"52",NA,NA,"10","No",1.135416667,5.010416667,"469909","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"53",NA,NA,"10","No",1.270833333,1.21875,"469581","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"54",NA,NA,"10","No",1.5,5.197916667,"475707","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"55",NA,NA,"10","No",1.989583333,7.6875,"484457","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"56",NA,NA,"10","No",8.895833333,8.895833333,"469875","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"57",NA,NA,"10","No",2.041666667,7.916666667,"487969","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"58",NA,NA,"10","No",2.020833333,7.96875,"487696","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"59",NA,NA,"10","No",1.166666667,5.854166667,"485507","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"60",NA,NA,"10","No",2.958333333,8.322916667,"469614","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"61",NA,NA,"10","No",2.0625,7.739583333,"487969","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"62",NA,NA,"10","No",2.0625,7.0625,"469865","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"63",NA,NA,"10","No",7.989583333,7.989583333,"470901","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"64",NA,NA,"10","No",4.010416667,7.989583333,"469495","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"65",NA,NA,"10","No",3.15625,4.854166667,"472268","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"66",NA,NA,"10","No",2.833333333,5.927083333,"470901","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"67",NA,NA,"10","No",2.916666667,7.833333333,"469431","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"68",NA,NA,"10","No",1.9375,7.010416667,"469495","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"69",NA,NA,"10","No",1.104166667,1.895833333,"484549","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"70",NA,NA,"10","No",3.041666667,6.927083333,"479845","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"71",NA,NA,"10","No",1.510416667,5.052083333,"479904","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"72",NA,NA,"10","No",1.989583333,7.21875,"469909","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"73",NA,NA,"10","No",2.229166667,7.520833333,"469553","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"74",NA,NA,"10","No",1.010416667,1.71875,"469558","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"75",NA,NA,"10","No",3.0625,6.833333333,"469883","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"76",NA,NA,"10","No",3.0625,6.822916667,"469431","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"77",NA,NA,"10","No",2.541666667,6.59375,"475707","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"78",NA,NA,"10","No",2,6.958333333,"485605","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"79","6.09166654","7.007407294","10","si",4.022222448,1.06666678,"481962","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"80",NA,NA,"10","si",1.014814871,4.992592706,"469558","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"81",NA,NA,"10","si",4.992592706,8.985185411,"485567","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"82",NA,NA,"10","si",6,4.074074074,"485976","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"83",NA,NA,"10","si",8.992593271,8.933333785,"469875","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"84",NA,NA,"10","si",2.956302931,5.053781376,"470408","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"85",NA,NA,"10","si",1.020168272,1,"481532","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"86",NA,NA,"10","si",8.101401107,8.988795518,"469883","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"87",NA,NA,"10","si",3.063865683,5.116526884,"487969","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"88",NA,NA,"10","si",9,8.05658318,"469883","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"89",NA,NA,"10","si",3.045938786,7.007843274,"469909","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"90",NA,NA,"10","si",1.99719888,5.02689103,"485567","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"91",NA,NA,"10","si",5.044817927,7.06162465,"472268","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"92",NA,NA,"10","si",3.090756713,3.951260778,"481532","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"93",NA,NA,"10","si",3.960224226,3.951260778,"469581","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"94",NA,NA,"10","si",3.987115256,4.049860081,"469635","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"95",NA,NA,"10","si",1,2.96526638,"484860","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"96",NA,NA,"10","si",2.983193277,4.031933183,"469865","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"97",NA,NA,"10","si",5.950139919,6.998879825,"479904","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"98",NA,NA,"10","si",5.017927581,6.94509845,"469614","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"99",NA,NA,"10","si",2.992156726,3.960224226,"469495","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"100",NA,NA,"10","si",6.003921979,4.937255176,"480419","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"101",NA,NA,"10","si",5.035854479,4.946218624,"469614","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"102",NA,NA,"10","si",2.929411901,6.989916377,"469865","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"103",NA,NA,"10","si",4.014005602,8.011765253,"469875","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"104",NA,NA,"10","si",1,3.960224226,"469495","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"105",NA,NA,"10","si",2.068907495,7.949020428,"469737","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"106",NA,NA,"10","si",4.022969051,9,"469440","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"107",NA,NA,"10","si",2.93837535,9,"469639","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"108",NA,NA,"10","si",4.973109654,8.970868621,"469431","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"109",NA,NA,"10","si",1.029131721,3.054902234,"484549","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"110",NA,NA,"10","si",7.007843274,8.970868621,"488322","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"111",NA,NA,"10","si",3.987115256,7.097479128,"469553","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"112",NA,NA,"10","si",4.014005602,4.946218624,"484271","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"113",NA,NA,"10","si",2.015126119,3.987115256,"485507","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"114",NA,NA,"10","si",3.08179258,3.861624923,"481962","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"115",NA,NA,"10","si",3.036974653,4.139495935,"484549","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"116",NA,NA,"10","si",1.002241033,3.028011204,"487696","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"117",NA,NA,"10","si",7.931092163,9,"469440","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"118",NA,NA,"10","si",5.977030949,6.954061898,"469431","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"119",NA,NA,"10","si",2.983193277,2.059944046,"469635","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"120",NA,NA,"10","si",3.117647059,3.942297329,"472263","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"121",NA,NA,"10","si",1.056022409,1.970308192,"479904","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"122",NA,NA,"10","si",1.0649862,3.054902234,"469639","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"123",NA,NA,"10","si",8.952941724,8.952941724,"485605","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"124",NA,NA,"10","si",1,1.109804127,"484271","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"125",NA,NA,"10","si",7.966947326,7.940056296,"488322","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"126",NA,NA,"10","si",1.082913097,3.897479402,"475707","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"127",NA,NA,"10","si",1.988235431,4.094678008,"484457","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"128",NA,NA,"10","si",1,5.017927581,"479845","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"129",NA,NA,"10","si",1.961344743,2.929411901,"477072","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"130",NA,NA,"10","si",1,4.049860081,"472268","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"131",NA,NA,"10","si",4.973109654,5.035854479,"484860","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"132",NA,NA,"10","si",1.970308192,4.946218624,"487969","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"133",NA,NA,"10","si",1.961344743,7.052661201,"484457","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"134",NA,NA,"10","si",2.96526638,4.937255176,"469805","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"135",NA,NA,"10","si",6.91820742,9,"472263","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"136",NA,NA,"10","si",1.03809517,2.992156726,"469558","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"137",NA,NA,"10","si",7.115406026,7.957983193,"470408","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"138",NA,NA,"10","si",3.960224226,7.007843274,"487696","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"139",NA,NA,"10","si",4.991036551,7.007843274,"469737","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"140",NA,NA,"10","si",3.063865683,4.973109654,"485605","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"141",NA,NA,"10","si",5.080672406,5.941176471,"480419","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"142",NA,NA,"10","si",1.934453713,2.974229829,"469553","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"143",NA,NA,"10","si",2.024089567,3.915406299,"479845","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"144",NA,NA,"10","si",1.029131721,1.020168272,"471720","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"145",NA,NA,"10","si",1.020168272,3.036974653,"485976","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"146",NA,NA,"10","si",6.039775774,7.016806723,"469909","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"147",NA,NA,"10","si",1,1.100840336,"484573","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"148",NA,NA,"10","si",4.946218624,7.106442577,"475707","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"149",NA,NA,"10","si",3.996078705,3.969187675,"485507","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"150",NA,NA,"10","si",1.118767575,1.073949648,"471720","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"151",NA,NA,"10","si",1.073949648,1.925490264,"477072","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"152",NA,NA,"10","si",1.082913097,2.122689212,"469581","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"153",NA,NA,"10","si",3.08179258,3.978151124,"484573","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"154",NA,NA,"10","si",8.020728018,8.05658318,"469805","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"155",NA,NA,"10","si",5.941176471,7.097479128,"470901","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"156",NA,NA,"10","si",6.021848876,7.966947326,"470901","sentence","5b220a2738fc0c0001312cf5",27,"Mexico","Mexico","Spanish","Mexico","Male"
"157","3.00390625","3.989583333","12","no",5.114583333,5,"469805","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"158",NA,NA,"12","no",5.9375,6,"484457","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"159",NA,NA,"12","no",2.104166667,4.927083333,"475707","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"160",NA,NA,"12","no",1.96875,5.5625,"469614","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"161",NA,NA,"12","no",3.083333333,5.979166667,"469635","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"162",NA,NA,"12","no",2.833333333,6.9375,"472268","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"163",NA,NA,"12","no",4,5.083333333,"469431","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"164",NA,NA,"12","no",2.010416667,6.010416667,"469639","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"165",NA,NA,"12","no",2.020833333,5,"469558","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"166",NA,NA,"12","no",2.03125,6.03125,"487696","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"167",NA,NA,"12","no",2,6.989583333,"484573","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"168",NA,NA,"12","no",1.947916667,5.010416667,"485567","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"169",NA,NA,"12","no",2.03125,6.03125,"469639","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"170",NA,NA,"12","no",2,5.979166667,"469495","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"171",NA,NA,"12","no",3.03125,7.083333333,"469875","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"172",NA,NA,"12","no",3.989583333,7,"469737","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"173",NA,NA,"12","no",6.989583333,8.052083333,"469883","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"174",NA,NA,"12","no",7.010416667,6.78125,"485507","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"175",NA,NA,"12","no",1.041666667,1.885416667,"471720","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"176",NA,NA,"12","no",2.979166667,7.010416667,"472263","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"177",NA,NA,"12","no",1.989583333,7.0625,"469635","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"178",NA,NA,"12","no",1.958333333,6.03125,"485567","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"179",NA,NA,"12","no",1.96875,6,"484457","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"180",NA,NA,"12","no",1.020833333,4.895833333,"475707","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"181",NA,NA,"12","no",1.010416667,2.927083333,"481532","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
"182",NA,NA,"12","no",3.041666667,4.979166667,"485507","sentence","5b6fc83e8d336b0001fe77b4",40,"Mexico","Mexico","Spanish","Mexico","Female"
